Nutriments;Vitamines D3;Bleuets congeles;Salade;Cheddar;Kiwi;Pommes de terre;Patates douces;Quinoa;Seitan;Maquereau;Semoule;Sarrasin;Abricots seche;Lait de coco;Huile de colza;Lait ecreme en poudre;Sauce soja;Fromage Cottage;Crevettes surgelees;Pâtes (SEC);Pain de ble entier;Thon en conserve;Lentilles;Dinde hachee;Tofu;Sardines en conserve;Brocoli;Poivrons rouges;Oignons;Pommes;Noix de cajou;Noisettes;Avocat;Jus d'orange;Sel de mer iodé;Framboises congelees;Mozzarella;Lait ecreme;Fraises congelees;Banane;Carottes;Cerises douces foncees congelees;Petits pois verts;Parmesan;Euf;Poulet;Buuf mi maigre;Avoine;Amande;Huile dolive;Huile de coco;Epinards;Yaourt grecque;Graine chia;Graine lin;Noix du bresil;Saumon;Haricots surgeles;Graine courge;Noix;Levure alimentaire en gros flocons sans gluten;Choux de Bruxelles surgeles;Mais surgeles;Miel;Riz Blanc (SEC);Pois chiche;Beurre d'arachide;Objectif
VitC;0;1.75;1.95;0;81.9;19.7;16.2;0;0;0.4;0;0;0;1;0;6.2;2.64;0;0;0;0;0;0;0.75;0;2.5;18.1;144;2.1;1.55;0;0;0;37;0;24.5;0;0;54;7.16;0.52;4.09;9.9;0;0;1.43;0;0;0;0;0;0;0;1.6;0;0.7;0;1.16;1.9;0.77;0;55.4;7.2;0.5;0;0;0;0
VitD;10000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VitE;0;0.5;0.17;1.27;0.96;0.01;0.83;0.88;1.65;0.71;0.1;0;5.52;0.7;27.7;0.01;0.1;0.08;2.85;0.11;0.68;0.88;0.53;0.08;0.71;0.28;1.69;3.81;0.015;0;1.33;16.3;2.23;0.2;0;1.4;0.19;0.01;0.3;0;0.78;0;0.03;0.17;1.03;0.11;0.12;1.09;22.3;22.3;0;3.98;0;0.5;7.2;5.65;2.05;0.1;2.18;1.67;0.098;0.44;0.09;0;0.11;1.22;9.1;0
VitK;0;17.1;0;2.8;16.6;1.9;2.2;0;4.63;0;0;0;0;0;71.3;0.1;5.3;0;0;0.1;0.25;0;2.64;0;12.7;0;49.6;5.61;0.4;0;34.7;0;14.5;0.1;0;0;5.9;0;0;0;2.76;0;24;1.53;0.3;0;1.6;0;0;58.1;0;38.1;0;0;8.1;0;0;5.16;7.3;2.4;0.4;61.8;0.4;0;0.1;2.53;0.3;0
Calcium;0;7;35.3;739;29;12;32.5;23;42;12.8;14;18;71;18;2.57;1260;28.9;83;0;21;74.5;6.26;39.3;5.42;100;57.5;43;7;29.2;2.99;39;120;9.4;0.41;13.3;29.9;598;122;18;5.1;28;9.9;24;980;41;4.7;24;54;260;0;0;240;116;631;223;160;9.23;51;46;75;130;35;4;7.93;28;72;49;0
Chlorure;0;0;61;1110;34.7;45;0;26.6;661;1.5;36.4;0;0;0;0;0;7830;0;0;35;692;428;17;124;74.7;130;0;28.1;0;0;22.5;30.8;0;0;60800;0;990;100;0;79.8;49.3;0;12;973;182;107;0;70;0;0;0;0;85;0;249;0;63;30;0;35.1;251;28.8;0;0;40;0;0;0
Cuivre;0;0.036;0.061;0.045;0.15;0.11;0.13;0.21;0.21;0.1;0.18;1.1;0.45;0.22;0.0052;0.041;0.02;0.03;0;0.31;0.23;0.031;0.25;0.054;0.24;0.41;0.15;0.06;0.077;0.03;2.2;1.7;0.18;0.022;0;0.11;0.011;0.013;0.02;0.06;0.09;0.08;0.11;0.71;0.068;0.03;0.08;0.63;0.96;0;0;0.14;0;0.92;1.5;1.74;0.026;0.07;1.34;1.1;0.39;0.13;0.051;0.017;0.22;0.24;0.42;0
Fer;0;0.29;0.64;0;0.16;0.78;0.71;1.6;1.2;1.57;0.74;2.2;1.4;3.3;0.023;0.32;2.1;0.11;0;1.3;1.4;0.76;2.45;0.49;2.4;1.67;0.33;0.27;0.21;0.065;5.4;3;0.34;0.068;0;0.78;0.44;0.03;0.19;0.2;0.19;0.17;1.52;0.1;1.72;0.39;2.48;4.72;3.4;0;0;1.3;0;7.72;6;2.43;0.4;0.54;8.82;2.2;4.1;0.51;0.68;0.18;0.8;1.3;1.74;0
Iode;0;0;0;37.7;0;1;3;0;0;45.8;0;2.5;0;1;0.8;41;13.2;0;0;2;0;16;0;4;0;26.8;0;0;1;9.56;0;0;0;0.7;1860;0.4;37.2;16.2;0;0;0;0;0;90;49.7;0;6.1;0;0;0;0;0;20.7;0;0;2.5;17;0;0;0;10;0;0;0.67;1;0;1.25;0
Manganese;0;0.2;0.22;0.023;0.05;0.15;0.38;0.7;0.74;0.1;0.67;1.3;0.27;0.77;0.0015;0.02;0.86;0.01;0;0.9;0.84;0.0037;0.43;0.012;0.93;0.33;0.17;0.11;0.12;0.027;1.6;3.3;0.2;0.021;0;1.2;0.03;0.003;0.26;0.36;0.14;0.06;0.28;0.02;0.031;0;0.011;4.92;1.9;0;0;0.81;0;2.72;2.4;1.22;0.007;0.19;4.54;2.9;0.89;0.2;0.16;0.16;1.1;0.86;1.67;0
Phosphore;0;9;23.5;509;26;57;43;180;100;207;86.6;347;79;96;0;977;141;159;0;189;134;155;159;293;210;286;39;25;44;8.5;510;340;38;16.5;0;38;354;101;23;29;17;19;77;630;172;270;115;523;510;0;3.01;30;82.6;860;589;725;270;38;1230;360;1100;62;87;4;115;140;335;0
Potassium;0;57;260;79.9;290;421;353;220;150;401;136;460;1400;220;0.81;1750;375;104;0;223;215;207;215;462;140;584;90;240;220;109;610;860;430;165;16.9;228;76;156;140;320;140;190;110;110;120;440;304;429;800;0;0;160;143;407;840;659;390;260;809;430;1700;410;294;70.3;115;170;558;0
Selenium;0;0;3.23;14.1;0;0.3;0;0;0;51.6;5;0;0;3;0;20.2;3.2;9.7;0;26.4;2;305;0;6.48;0;52.8;0;0;0;9.5;0;0;0;0;0;0.19;16.3;1.27;0;0;0;0;1;20;7.01;0;19.4;9;0;0;0;0;0;0;6.7;1917;19;0;0;0;10;0;0;0;15.1;0;7.2;0
Zinc;0;0.065;0.18;3.8;0.12;0.29;0.26;1.2;1;0.94;0.83;2.4;0.35;0.56;0.026;4.25;0.78;0.4;0.9;1.4;1.1;0.45;1.25;1.22;1.3;1.5;0.18;0.14;0.19;0.029;5;2.3;0.43;0.045;0;0.34;2.92;0.42;0.11;0.14;0.22;0.06;0.67;3.9;1.27;0.72;4.3;3.97;3.5;0;0;0.79;0;4.58;6.1;4.06;0.39;0.22;7.81;2.7;8.4;0.31;0.7;0.098;1.1;1.1;2.51;0
Cholesterol;0;0;0;103;0;0;0;0;0;81.8;0;0;0;0;0;19;0;15;160;0;0;50;0;72.5;0;78.9;0;0;0;0;0;0;0;0;0;0;79;2;0;0;0;0;0;95.3;355;85.9;76.4;0;0;0;0;0;14.1;0;0;0;36.3;0;0;0;0;0;0;0;0;0;0;0
Polyols;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MinQty;0;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0.032;0;0;0;0;10;10;0;10;0;0;10;10;10;60;0;0;0;0;0;0;0;0;0;0;0;0;10;0;10;0;10;10;10;10;10;10;10
